2457907.71074 17.712 0.017 4.29 510.0
2457907.75048 17.687 0.017 4.05 561.0
2457907.82711 17.677 0.018 4.85 641.0
2457908.58413 17.695 0.025 6.00 684.0
2457908.62985 17.717 0.021 5.07 578.0
2457908.67661 17.703 0.018 4.52 517.0
2457908.73228 17.731 0.016 3.65 506.0
2457908.79080 17.716 0.019 4.74 532.0
2457908.83726 17.698 0.017 4.81 427.0
2457908.88444 17.679 0.020 5.66 513.0
2457908.92370 17.704 0.023 5.91 659.0
2457909.56238 17.744 0.027 5.51 867.0
2457909.60828 17.668 0.020 4.56 639.0
2457909.65762 17.709 0.017 3.96 549.0
2457909.71336 17.694 0.016 3.88 539.0
2457909.76238 17.688 0.019 3.76 770.0
2457909.80944 17.696 0.018 4.11 582.0
2457909.84807 17.698 0.016 3.83 492.0
2457909.89906 17.769 0.021 4.95 602.0
2457909.93087 17.734 0.024 5.81 791.0
2457910.55608 17.702 0.025 5.55 827.0
2457910.61038 17.753 0.022 5.11 619.0
2457910.65721 17.728 0.019 4.90 531.0
2457910.71407 17.716 0.017 4.04 493.0
2457910.77377 17.732 0.018 4.17 565.0
2457910.81981 17.744 0.019 4.70 559.0
2457910.87489 17.677 0.018 4.60 725.0
2457910.92758 17.670 0.021 6.17 721.0
2457911.58293 17.691 0.027 6.28 833.0
2457911.62356 17.700 0.023 5.50 675.0
2457911.67079 17.728 0.023 5.33 644.0
2457911.71572 17.686 0.025 6.10 640.0
2457911.82449 17.685 0.026 6.00 740.0
2457916.55202 17.678 0.027 6.16 971.0
2457916.59887 17.729 0.019 4.21 789.0
2457916.63510 17.717 0.018 3.93 788.0
2457916.67630 17.705 0.020 4.09 887.0
2457916.71872 17.743 0.020 4.15 772.0
2457916.76382 17.706 0.017 3.71 701.0
2457916.80616 17.722 0.020 3.87 860.0
2457916.84986 17.718 0.024 4.74 963.0
2457917.55978 17.658 0.024 5.86 704.0
2457917.60595 17.756 0.023 5.58 605.0
2457917.65612 17.697 0.018 4.90 512.0
2457917.70520 17.755 0.019 4.59 528.0
2457917.75592 17.713 0.017 4.00 541.0
2457917.80190 17.651 0.019 4.88 599.0
2457917.84759 17.664 0.024 5.80 730.0
2457917.89400 17.708 0.025 5.72 837.0
2457918.57404 17.651 0.020 6.25 670.0
2457918.65251 17.668 0.024 5.64 793.0
2457922.61741 17.726 0.019 5.64 426.0
2457922.67288 17.700 0.016 4.51 397.0
2457922.73094 17.716 0.019 5.29 405.0
2457923.54094 17.736 0.022 5.88 520.0
2457923.58624 17.682 0.021 5.72 520.0
2457923.63241 17.682 0.017 4.84 427.0
2457923.70728 17.754 0.021 5.84 423.0
2457923.75396 17.724 0.022 6.24 437.0
2457923.80201 17.715 0.022 5.77 480.0
2457923.84733 17.729 0.026 7.07 493.0
2457923.89002 17.709 0.025 6.36 563.0
2457924.51066 17.675 0.021 5.77 555.0
2457924.55337 17.710 0.019 5.02 466.0
2457924.59922 17.723 0.017 4.24 402.0
2457924.64360 17.706 0.017 4.67 399.0
2457924.70993 17.666 0.016 4.12 403.0
2457924.75701 17.704 0.017 4.40 389.0
2457924.80303 17.738 0.017 4.11 434.0
2457924.84890 17.684 0.017 4.66 513.0
2457925.57751 17.673 0.022 6.67 434.0
2457925.62301 17.671 0.019 5.93 386.0
2457925.66986 17.707 0.015 4.06 338.0
2457925.74340 17.723 0.020 5.76 387.0
2457925.79146 17.725 0.020 5.97 360.0
2457925.84369 17.705 0.020 6.09 442.0
2457926.55944 17.702 0.022 6.52 467.0
2457926.61170 17.724 0.017 5.48 428.0
2457926.67770 17.719 0.019 5.59 370.0
2457926.74129 17.735 0.020 6.10 403.0
2457926.79406 17.726 0.029 7.92 437.0
2457926.84870 17.735 0.026 7.42 466.0
2457928.60623 17.710 0.019 5.20 440.0
2457928.65385 17.719 0.018 5.25 397.0
2457929.80551 17.675 0.023 7.41 589.0
2457932.60679 17.709 0.018 5.45 395.0
2457932.66339 17.725 0.022 6.49 410.0
2457932.71205 17.725 0.024 6.98 384.0
2457932.77144 17.709 0.021 6.53 374.0
2457932.81700 17.695 0.018 5.43 405.0
2457933.59587 17.732 0.021 6.23 382.0
2457933.64261 17.692 0.017 5.47 326.0
2457933.69237 17.692 0.018 5.79 322.0
2457933.75899 17.724 0.021 6.51 327.0
2457933.80286 17.753 0.024 7.03 382.0
2457933.82817 17.744 0.024 7.05 385.0
2457933.84099 17.704 0.023 6.87 414.0
2457934.50074 17.752 0.021 5.70 518.0
2457934.54666 17.686 0.016 4.73 423.0
2457934.59232 17.694 0.016 4.80 377.0
2457934.64764 17.702 0.016 4.85 379.0
2457934.74642 17.720 0.017 4.53 384.0
2457934.79239 17.730 0.019 5.60 392.0
